Student ID;Student Country;Question ID;Type of Answer;Question Level;Topic;Subtopic;Keywords,,,,,,,,,,,,;is_advanced;student_accuracy;question_difficulty;topic_difficulty;subtopic_difficulty
647;Ireland;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.292661847894406;0.46153846153846156;0.5205882352941176;0.5205882352941176
41;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.5678327309868008;0.46153846153846156;0.5205882352941176;0.5205882352941176
340;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.23866391308251772;0.46153846153846156;0.5205882352941176;0.5205882352941176
641;Italy;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.3617745652629374;0.46153846153846156;0.5205882352941176;0.5205882352941176
669;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.528441231929604;0.46153846153846156;0.5205882352941176;0.5205882352941176
697;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.6951078985962708;0.46153846153846156;0.5205882352941176;0.5205882352941176
720;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.6951078985962708;0.46153846153846156;0.5205882352941176;0.5205882352941176
675;Portugal;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.528441231929604;0.46153846153846156;0.5205882352941176;0.5205882352941176
663;Portugal;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.528441231929604;0.46153846153846156;0.5205882352941176;0.5205882352941176
28;Portugal;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.5834577309868008;0.46153846153846156;0.5205882352941176;0.5205882352941176
953;Lithuania;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.4451078985962707;0.46153846153846156;0.5205882352941176;0.5205882352941176
636;Italy;77;1;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.3617745652629374;0.46153846153846156;0.5205882352941176;0.5205882352941176
639;Italy;77;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.278441231929604;0.46153846153846156;0.5205882352941176;0.5205882352941176
684;Ireland;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.4451078985962707;1.0;0.5205882352941176;0.5205882352941176
683;Ireland;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.4451078985962707;1.0;0.5205882352941176;0.5205882352941176
725;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.19510789859627067;1.0;0.5205882352941176;0.5205882352941176
57;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.47466518396750956;1.0;0.5205882352941176;0.5205882352941176
690;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.278441231929604;1.0;0.5205882352941176;0.5205882352941176
675;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.528441231929604;1.0;0.5205882352941176;0.5205882352941176
679;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.417661847894406;1.0;0.5205882352941176;0.5205882352941176
663;Portugal;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.528441231929604;1.0;0.5205882352941176;0.5205882352941176
638;Italy;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.278441231929604;1.0;0.5205882352941176;0.5205882352941176
953;Lithuania;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.4451078985962707;1.0;0.5205882352941176;0.5205882352941176
637;Italy;78;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.3617745652629374;1.0;0.5205882352941176;0.5205882352941176
658;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.4451078985962707;0.75;0.5205882352941176;0.5205882352941176
647;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.292661847894406;0.75;0.5205882352941176;0.5205882352941176
657;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.4451078985962707;0.75;0.5205882352941176;0.5205882352941176
674;Ireland;79;0;Basic;Statistics;Statistics;Stem and Leaf diagram,Relative frequency,Sample,Frequency,,,,,,,,,;0;0.3617745652629374;0.75;0.5205882352941176;0.5205882352941176
